label,Tas,GP,SiU,EP,FS,JLB3,ML8,VM19D,En8DAP,Em20DAP,IND,PR5D,SR7D,
bHLH, 654003.75,0.0,1332760.7500000002,2703221.9999999995,1891998.9166666672,803115.8333333333,1177590.0000000002,134218.3333333333,14629505.0,14845691.666666666,7206628.333333333,4392512.5,7273815.833333333
bZIP, 1244157.894736842,0.0,21582.98245614035,2866184.2105263155,4441308.771929825,475017.8947368421,1692773.6842105263,0.0,29316978.947368428,5329964.912280701,472792.9824561404,13501970.175438598,7623407.01754386
MYB, 655371.4285714285,9264523.80952381,0.0,1705927.619047619,3299304.761904762,761761.9047619047,2522833.333333333,0.0,9653180.952380953,0.0,1993361.9047619046,13224380.952380953,34865095.23809524
ERF, 3344683.333333333,13356190.476190476,711095.2380952381,3459050.952380952,3559783.3333333335,399569.04761904763,1350142.857142857,0.0,15001764.285714285,13644647.619047618,820905.4761904761,68657038.09523809,86204095.23809525
HD-ZIP, 335744.44444444444,0.0,0.0,0.0,209061.11111111112,185725.92592592593,0.0,0.0,4400340.740740742,0.0,107064.81481481482,0.0,5568118.518518519
Dof, 0.0,0.0,208253.3333333333,2953133.333333333,2180866.666666667,0.0,6395666.666666666,5610266.666666666,12165266.666666668,0.0,4280800.0,0.0,4668046.666666666
SBP, 262592.0,0.0,2348800.0,7596666.666666667,20633946.666666668,466040.0,6555000.0,0.0,28236600.0,0.0,1406760.0,54806133.333333336,34141937.333333336
Trihelix, 4301777.777777778,0.0,1188661.111111111,19247266.666666668,52720555.55555555,0.0,0.0,0.0,60187777.77777778,3969555.5555555555,23440777.77777778,0.0,5371444.444444445
MIKC_MADS, 0.0,0.0,0.0,3772733.3333333335,3105366.6666666665,0.0,0.0,0.0,0.0,0.0,0.0,11159300.0,0.0
C2H2, 390544.9019607843,3082568.6274509802,2119878.2352941176,634528.8235294118,689564.3137254901,1730588.2352941176,527426.2745098039,0.0,11987811.176470589,0.0,428620.9803921569,1282829.4117647058,76122941.1764706
ZF-HD, 1073080.0,0.0,0.0,0.0,58280866.666666664,0.0,0.0,0.0,0.0,0.0,416146.6666666666,0.0,0.0
NAC, 1619288.888888889,0.0,226556.11111111112,4534277.777777778,7154747.222222221,646555.5555555556,7780855.555555555,0.0,31166936.11111111,0.0,0.0,1133141.1111111112,16957583.333333336
WRKY, 1364375.0,0.0,1086639.1666666665,142195.0,7816995.833333333,1041150.0,6792437.5,0.0,31070500.0,0.0,4575758.333333333,6546291.666666667,3583583.3333333335
TALE, 16401986.04938271,0.0,83748.51851851853,10905674.074074073,86887519.75308643,729781.4814814815,0.0,0.0,392075851.85185117,156728395.0617284,4079392.592592592,168625145.67901233,4708320.987654322
BES1, 32241000.0,0.0,1600533.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3, 517940.0,3601320.0,2041000.0,7526466.666666666,3923453.333333333,0.0,1473513.3333333335,3878866.6666666665,7945466.666666667,2490600.0,2976933.333333333,8073733.333333333,106598800.0
AP2, 0.0,0.0,925372.2222222221,0.0,0.0,0.0,0.0,0.0,28531783.33333334,0.0,0.0,0.0,70177388.8888889
Nin-like, 3532277.777777778,2204633.3333333335,3863000.0,31985777.777777776,25661277.77777778,5395333.333333333,4393188.888888889,0.0,5561777.777777778,0.0,21090222.22222222,12221555.555555554,2745755.5555555555
RAV, 0.0,131049000.0,0.0,0.0,6905400.0,0.0,0.0,0.0,45497000.0,14663000.0,0.0,0.0,10277000.0
GRAS, 1066460.0,0.0,0.0,0.0,184391.3333333333,0.0,1889626.6666666667,0.0,8450206.666666666,0.0,1282380.0,4482020.0,3204533.333333333
C3H, 301557.14285714284,0.0,937162.8571428572,0.0,1793652.3809523808,0.0,1512647.6190476192,0.0,7621485.714285715,0.0,0.0,15199833.333333334,6487000.0
WOX, 6600083.333333333,8726333.333333334,11595916.666666666,3975916.6666666665,24682458.333333336,3938116.6666666665,10462083.333333334,0.0,7855500.0,0.0,5280258.333333333,36981250.0,22726262.5
GATA, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2375000.0,11530666.666666666,0.0,0.0,8545000.0
MYB_related, 0.0,8924833.333333334,0.0,0.0,0.0,0.0,0.0,0.0,845225.0,0.0,0.0,0.0,9264666.666666666
LBD, 1958222.2222222222,0.0,0.0,930494.4444444445,33571772.22222222,0.0,0.0,14654055.555555554,13451750.0,0.0,0.0,398822.22222222225,6905111.111111112
ARF, 0.0,0.0,0.0,0.0,2011811.111111111,830311.1111111111,266355140.74074003,0.0,2729740.7407407407,0.0,0.0,5062392.592592593,11222259.25925926
EIL, 2424500.0,0.0,1031833.3333333334,0.0,13390333.333333334,2210200.0,19765000.0,0.0,66798000.0,0.0,0.0,0.0,50101000.0
GeBP, 1241446.6666666665,0.0,3389533.3333333335,4397440.0,4390033.333333333,0.0,0.0,0.0,12910200.0,0.0,6779066.666666666,0.0,0.0
TCP, 0.0,0.0,1030880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whirly, 0.0,0.0,15017333.333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840466.6666666666,124383333.33333333
GRF, 0.0,0.0,1620800.0,0.0,0.0,13898400.0,18298333.333333332,0.0,0.0,0.0,0.0,0.0,122143333.33333333
SRS, 0.0,0.0,46246833.333333336,0.0,4197033.333333333,0.0,0.0,0.0,0.0,0.0,0.0,15707000.0,0.0
NF-YA, 3584333.3333333335,0.0,0.0,5196333.333333333,7727000.0,0.0,0.0,0.0,44402000.0,0.0,7850333.333333333,17613666.666666668,0.0
G2-like, 4691466.666666667,0.0,0.0,6193200.0,11159333.333333334,0.0,0.0,12386033.333333334,0.0,0.0,0.0,0.0,0.0
E2F/DP, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14167666.666666666,0.0,0.0,0.0,0.0
HSF, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24383000.0,0.0,0.0,14472666.666666666,0.0
